,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
293,2019,3,Córdoba,83000,5824,240151,106651,118486,146247,157546,7353,782341
294,2019,3,Corrientes,10000,597000,42231,29628,10348,10388,12674,4780,110656
295,2019,3,Entre Ríos,19000,4446,99656,56161,17064,21216,22645,15107,236314
296,2019,3,Formosa,1110,349000,24943,6049,7117,2262,4443,100000,46373
297,2019,3,Jujuy,27000,885000,31722,9240,26835,56000,3671,16545,88981
298,2019,3,La Pampa,237000,3289,75849,5922,1611,1359,941,1618,90826
299,2019,3,La Rioja,9000,10000,38657,4786,4887,22000,1307,0,49678
300,2019,3,Mendoza,21000,1269,206821,2958,10093,1263,349,0,222774
301,2019,3,Misiones,47000,1928,43530,29375,11256,16107,16650,12206,131099
302,2019,3,Neuquén,45000,2258,62909,4586,9597,16923,28458,122000,124898
303,2019,3,Río Negro,47000,1234,87435,2348,9779,10176,15505,17719,144243
304,2019,3,Salta,49000,900000,43160,62230,14309,11418,12357,7515,151938
305,2019,3,San Juan,22000,171000,68315,2245,1267,41000,128,4779,76968
306,2019,3,San Luis,57000,100000,18643,5113,467000,62242,5,36075,122702
307,2019,3,Santa Cruz,28000,84000,31612,4472,1203,27000,4,0,37430
308,2019,3,Santa Fe,640000,8183,242454,193286,107068,84325,97082,19537,752576
309,2019,3,Santiago Del Estero,39000,1832,35554,55172,3612,86000,1836,34501,132632
310,2019,3,Tierra Del Fuego,6000,14000,32133,4692,1756,82000,226,9648,48557
311,2019,3,Tucumán,16000,110000,71043,47693,24354,843000,20385,0,164444
312,2019,2,Buenos Aires,199768,46852,1436259,217785,438663,502275,985767,43438,3870807
313,2019,2,Capital Federal,74000,1027,281370,124087,239691,296155,475991,0,1418395
314,2019,2,Catamarca,34000,43000,16631,8670,6049,34000,10,2151,33622
315,2019,2,Chaco,69000,1383,38488,26431,16789,15348,9904,1492,109904
316,2019,2,Chubut,66000,3952,69032,10049,1495,74000,165,4500,89333
317,2019,2,Córdoba,81000,8164,248427,100512,157458,170159,76053,8938,769793
318,2019,2,Corrientes,10000,3012,40424,27774,13114,11928,7119,6080,109461
319,2019,2,Entre Ríos,18000,5905,100687,52316,23196,24221,10664,17206,234213
320,2019,2,Formosa,1110,349000,26512,5399,8384,2639,2258,100000,46751
321,2019,2,Jujuy,27000,940000,26233,8441,26700,27000,2600,21765,86733
322,2019,2,La Pampa,236000,3289,75406,5191,1366,1445,629,2661,90223
323,2019,2,La Rioja,9000,11000,39819,4297,4857,13000,1298,0,50304
324,2019,2,Mendoza,20000,2522,205165,2971,10092,1256,234,0,222260
325,2019,2,Misiones,47000,2226,45769,27385,15408,18882,8129,12206,130052
326,2019,2,Neuquén,302000,3038,61776,4688,17318,21210,14132,422000,122886
327,2019,2,Río Negro,384000,1354,86366,2201,10291,12407,6907,18519,138429
328,2019,2,Salta,49000,974000,59638,36923,16961,14059,6461,7585,142650
329,2019,2,San Juan,22000,213000,60913,2177,785000,7000,4,6119,70240
330,2019,2,San Luis,57000,102000,16575,4964,467000,57236,5,37977,117383
331,2019,2,Santa Cruz,25000,84000,24861,3806,1202,28000,4,0,30010
