Año,Trimestre,Provincia,Accesos por cada 100 hogares,Crecimiento Trimestral,Crecimiento Anual,Trimestre2
2017,2,Santa Fe,52.27,0.5772561092938222,-0.3241800152555152,2017-04-01
2017,2,Santiago Del Estero,14.12,-3.945578231292513,-11.139081183134058,2017-04-01
2017,2,Tierra Del Fuego,68.46,-0.667440510737094,1.0927347903130435,2017-04-01
2017,2,Tucumán,38.19,0.7651715039577844,2.5510204081632626,2017-04-01
2017,3,Buenos Aires,55.63,-1.1373733783543671,-7.499168606584627,2017-07-01
2017,3,Capital Federal,121.86,-1.7733354828308956,0.9025420220253322,2017-07-01
2017,3,Catamarca,32.49,25.057736720554267,22.696374622356497,2017-07-01
2017,3,Chaco,29.98,3.201376936316702,3.701141473538572,2017-07-01
2017,3,Chubut,46.22,30.01406469760901,27.7501381978994,2017-07-01
2017,3,Corrientes,32.17,2.484867792290535,3.540392661731584,2017-07-01
2017,3,Córdoba,62.31,5.66389689672715,6.988324175824179,2017-07-01
2017,3,Entre Ríos,45.96,1.2557832121612655,1.1443661971830998,2017-07-01
2017,3,Formosa,21.35,6.910365548322495,14.538626609442073,2017-07-01
2017,3,Jujuy,22.65,1.116071428571419,0.1769128704113276,2017-07-01
2017,3,La Pampa,69.14,8.899039218774618,12.003887898914645,2017-07-01
2017,3,La Rioja,51.47,217.71604938271608,201.52314001171644,2017-07-01
2017,3,Mendoza,35.7,12.405541561712852,11.249610470551572,2017-07-01
2017,3,Misiones,30.21,0.3988035892322994,1.0030090270812364,2017-07-01
2017,3,Neuquén,60.83,-1.744467775803582,1.0297292808503444,2017-07-01
2017,3,Río Negro,48.52,5.432420686657968,4.591506790256528,2017-07-01
2017,3,Salta,39.84,21.68601099572389,20.873786407767003,2017-07-01
2017,3,San Juan,32.37,20.066765578635003,18.484626647144943,2017-07-01
2017,3,San Luis,15.48,62.77602523659307,60.74766355140186,2017-07-01
2017,3,Santa Cruz,33.29,26.81904761904761,24.03129657228018,2017-07-01
2017,3,Santa Fe,60.91,16.529558063898975,15.644579456996375,2017-07-01
2017,3,Santiago Del Estero,35.12,148.72521246458925,129.09328114807565,2017-07-01
2017,3,Tierra Del Fuego,65.74,-3.9731229915279,-4.64171743545112,2017-07-01
2017,3,Tucumán,39.7,3.953914637339628,4.74934036939314,2017-07-01
2017,4,Buenos Aires,57.61,3.559230630954513,-5.927498367080341,2017-10-01
2017,4,Capital Federal,122.9,0.8534383719021932,1.8817872834286709,2017-10-01
2017,4,Catamarca,28.62,-11.91135734072022,7.83722682743031,2017-10-01
2017,4,Chaco,30.81,2.768512341561036,7.016325112886412,2017-10-01
2017,4,Chubut,51.46,11.337083513630477,42.66703631827002,2017-10-01
2017,4,Corrientes,32.52,1.0879701585327917,4.970948999354441,2017-10-01
2017,4,Córdoba,63.33,1.6369764082811766,9.757365684575392,2017-10-01
2017,4,Entre Ríos,47.89,4.199303742384686,5.927892059278928,2017-10-01
